actor1,actor2,weight
37821,1808925,67.775
37821,2020776,67.775
37821,2140105,67.775
37821,2392748,67.775
37821,2939086,67.775
37821,3052237,67.775
37821,3817610,67.775
37821,3817629,67.775
37821,3817635,67.775
37821,3817637,67.775
37821,3817649,67.775
37821,3817652,67.775
37821,3817687,67.775
37821,3817690,67.775
37822,196855,67.775
37822,204997,67.775
37822,946856,67.775
37822,951881,67.775
37822,1019727,67.775
37822,1215432,67.775
37822,1808925,67.775
37822,2020776,67.775
37822,2140105,67.775
37822,2392748,67.775
37822,2939086,67.775
37822,3052237,67.775
37822,3817610,67.775
37822,3817629,67.775
37822,3817635,67.775
37822,3817637,67.775
37822,3817649,67.775
37822,3817652,67.775
37822,3817687,67.775
37822,3817690,67.775
53714,93210,38.932
53714,234352,38.932
53714,1095524,38.932
55086,178634,1119.075
55086,205213,1119.075
55086,2273501,1119.075
55086,3607144,1119.075
93210,234352,38.932
93210,1095524,38.932
101065,113970,116.09
101065,1074617,116.09
101065,1309110,116.09
101065,1373737,116.09
101065,1743933,116.09
101065,2072566,116.09
101065,2131391,116.09
101065,2408958,116.09
101065,2410230,116.09
101065,2475107,116.09
113970,1074617,116.09
113970,1309110,116.09
113970,1373737,116.09
113970,1743933,116.09
113970,2072566,116.09
113970,2131391,116.09
113970,2408958,116.09
113970,2410230,116.09
113970,2475107,116.09
178634,205213,1119.075
178634,2273501,1119.075
178634,3607144,1119.075
196855,204997,67.775
196855,946856,67.775
196855,951881,67.775
196855,1019727,67.775
196855,1215432,67.775
196855,1808925,67.775
196855,2020776,67.775
196855,2140105,67.775
196855,2392748,67.775
196855,2939086,67.775
196855,3052237,67.775
196855,3817610,67.775
196855,3817629,67.775
196855,3817635,67.775
196855,3817637,67.775
196855,3817649,67.775
196855,3817652,67.775
196855,3817687,67.775
196855,3817690,67.775
204997,946856,67.775
204997,951881,67.775
204997,1019727,67.775
204997,1215432,67.775
204997,1808925,67.775
204997,2020776,67.775
204997,2140105,67.775
204997,2392748,67.775
204997,2939086,67.775
204997,3052237,67.775
204997,3817610,67.775
204997,3817629,67.775
204997,3817635,67.775
204997,3817637,67.775
204997,3817649,67.775
204997,3817652,67.775
204997,3817687,67.775
204997,3817690,67.775
205213,2273501,1119.075
205213,3607144,1119.075
234352,1095524,38.932
946856,951881,67.775
946856,1019727,67.775
946856,1215432,67.775
946856,1808925,67.775
946856,2020776,67.775
946856,2140105,67.775
946856,2392748,67.775
946856,2939086,67.775
946856,3052237,67.775
946856,3817610,67.775
946856,3817629,67.775
946856,3817635,67.775
946856,3817637,67.775
946856,3817649,67.775
946856,3817652,67.775
946856,3817687,67.775
946856,3817690,67.775
951881,1019727,67.775
951881,1215432,67.775
951881,1808925,67.775
951881,2020776,67.775
951881,2140105,67.775
951881,2392748,67.775
951881,2939086,67.775
951881,3052237,67.775
951881,3817610,67.775
951881,3817629,67.775
951881,3817635,67.775
951881,3817637,67.775
951881,3817649,67.775
951881,3817652,67.775
951881,3817687,67.775
951881,3817690,67.775
1019727,1215432,67.775
1019727,1808925,67.775
1019727,2020776,67.775
1019727,2140105,67.775
1019727,2392748,67.775
1019727,2939086,67.775
1019727,3052237,67.775
1019727,3817610,67.775
1019727,3817629,67.775
1019727,3817635,67.775
1019727,3817637,67.775
1019727,3817649,67.775
1019727,3817652,67.775
1019727,3817687,67.775
1019727,3817690,67.775
1074617,1309110,116.09
1074617,1373737,116.09
1074617,1743933,116.09
1074617,2072566,116.09
1074617,2131391,116.09
1074617,2408958,116.09
1074617,2410230,116.09
1074617,2475107,116.09
1215432,1808925,67.775
1215432,2020776,67.775
1215432,2140105,67.775
1215432,2392748,67.775
1215432,2939086,67.775
1215432,3052237,67.775
1215432,3817610,67.775
1215432,3817629,67.775
1215432,3817635,67.775
1215432,3817637,67.775
1215432,3817649,67.775
1215432,3817652,67.775
1215432,3817687,67.775
1215432,3817690,67.775
1309110,1373737,116.09
1309110,1743933,116.09
1309110,2072566,116.09
1309110,2131391,116.09
1309110,2408958,116.09
1309110,2410230,116.09
1309110,2475107,116.09
1373737,1743933,116.09
1373737,2072566,116.09
1373737,2131391,116.09
1373737,2408958,116.09
1373737,2410230,116.09
1373737,2475107,116.09
1517550,1684099,461.519
1743933,2072566,116.09
1743933,2131391,116.09
1743933,2408958,116.09
1743933,2410230,116.09
1743933,2475107,116.09
1808925,2020776,67.775
1808925,2140105,67.775
1808925,2392748,67.775
1808925,2939086,67.775
1808925,3052237,67.775
1808925,3817610,67.775
1808925,3817629,67.775
1808925,3817635,67.775
1808925,3817637,67.775
1808925,3817649,67.775
1808925,3817652,67.775
1808925,3817687,67.775
1808925,3817690,67.775
2020776,2140105,67.775
2020776,2392748,67.775
2020776,2939086,67.775
2020776,3052237,67.775
2020776,3817610,67.775
2020776,3817629,67.775
2020776,3817635,67.775
2020776,3817637,67.775
2020776,3817649,67.775
2020776,3817652,67.775
2020776,3817687,67.775
2020776,3817690,67.775
2072566,2131391,116.09
2072566,2408958,116.09
2072566,2410230,116.09
2072566,2475107,116.09
2131391,2408958,116.09
2131391,2410230,116.09
2131391,2475107,116.09
2140105,2392748,67.775
2140105,2939086,67.775
2140105,3052237,67.775
2140105,3817610,67.775
2140105,3817629,67.775
2140105,3817635,67.775
2140105,3817637,67.775
2140105,3817649,67.775
2140105,3817652,67.775
2140105,3817687,67.775
2140105,3817690,67.775
2273501,3607144,1119.075
2392748,2939086,67.775
2392748,3052237,67.775
2392748,3817610,67.775
2392748,3817629,67.775
2392748,3817635,67.775
2392748,3817637,67.775
2392748,3817649,67.775
2392748,3817652,67.775
2392748,3817687,67.775
2392748,3817690,67.775
2408958,2410230,116.09
2408958,2475107,116.09
2410230,2475107,116.09
2810970,3106765,0.6
2810970,3106770,0.6
2810970,3793804,0.6
2810970,3793827,0.6
2810970,3793842,0.6
2939086,3052237,67.775
2939086,3817610,67.775
2939086,3817629,67.775
2939086,3817635,67.775
2939086,3817637,67.775
2939086,3817649,67.775
2939086,3817652,67.775
2939086,3817687,67.775
2939086,3817690,67.775
3052237,3817610,67.775
3052237,3817629,67.775
3052237,3817635,67.775
3052237,3817637,67.775
3052237,3817649,67.775
3052237,3817652,67.775
3052237,3817687,67.775
